# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1499544201361521 0.008418480225094338 0 0
0.375 0.25 0.5 0.6325880909505184 0.01837910142026786 0 0
0.75 0.5 1 0.7054928500226449 0.01510888772235357 0 0
1.25 1 1.5 0.3904012593176875 0.01160083910847794 0 0
1.75 1.5 2 0.2048525034248571 0.007544894912842133 0 0
2.5 2 3 0.09261061767119502 0.003420857219450375 0 0
3.5 3 4 0.03618631995770912 0.002042780863276954 0 0
5 4 6 0.01014018208333969 0.0005703932715546003 0 0
7 6 8 0.0005669383315152092 6.555842155057139e-05 0 0
54 8 100 1.507025034327108e-07 1.427390037594632e-07 0 0
