# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1796864561214844 0.006666100915942384 0 0
0.375 0.25 0.5 0.4457939934145518 0.009334043445088662 0 0
0.75 0.5 1 0.5280367336467281 0.007218949640235526 0 0
1.25 1 1.5 0.3762480573581545 0.006027112835132821 0 0
1.75 1.5 2 0.2260267573829882 0.004119999871953712 0 0
2.5 2 3 0.120662793637831 0.002164621605562723 0 0
3.5 3 4 0.04474868932904785 0.001133936426163286 0 0
5 4 6 0.01359402584774663 0.0004468295310280936 0 0
7 6 8 0.0009100932261279528 7.686210719932287e-05 0 0
54 8 100 5.387813979043387e-09 2.64720361738725e-09 0 0
