# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2438316123430394 0.01289767401733499 0 0
0.375 0.25 0.5 0.3379877856974993 0.01525127526019089 0 0
0.75 0.5 1 0.2521667343583125 0.008670682365752519 0 0
1.25 1 1.5 0.1142591513608278 0.005543826894259462 0 0
1.75 1.5 2 0.07035623406366406 0.00525998490703769 0 0
2.5 2 3 0.03574213084445171 0.004970588277824206 0 0
3.5 3 4 0.01410740467565544 0.001317682134276703 0 0
5 4 6 0.004820095666530965 0.0003691717775335556 0 0
7 6 8 0.0005813478688109679 0.0001104381271199652 0 0
54 8 100 1.776331729188691e-08 1.212009780497561e-08 0 0
