# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.252160272351288 0.007137406034069697 0 0
0.375 0.25 0.5 0.3579371294714487 0.0079545952195119 0 0
0.75 0.5 1 0.2654091221179851 0.004970079382680919 0 0
1.25 1 1.5 0.1440690452292987 0.003850456984303631 0 0
1.75 1.5 2 0.08714511733017206 0.002530892249226995 0 0
2.5 2 3 0.04402821514774551 0.001300147122450719 0 0
3.5 3 4 0.0182118032692107 0.0007217935869047192 0 0
5 4 6 0.009196968944803898 0.0003782749863317487 0 0
7 6 8 0.0008389452879149603 7.248436029599422e-05 0 0
54 8 100 5.226941397909602e-09 2.642310921248197e-09 0 0
