# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2234379696168363 0.01165906045824691 0 0
0.375 0.25 0.5 0.5746537521219548 0.04230705494850897 0 0
0.75 0.5 1 0.6213219789459774 0.01901977340974682 0 0
1.25 1 1.5 0.3483245203349104 0.01087981525336444 0 0
1.75 1.5 2 0.1748145411619437 0.007016914664903877 0 0
2.5 2 3 0.07594123366120437 0.003132009145054642 0 0
3.5 3 4 0.02412835170288347 0.001579741062042637 0 0
5 4 6 0.006677435417420054 0.0005764765724946111 0 0
7 6 8 0.0004313119956834458 8.049827168798533e-05 0 0
54 8 100 1.284237501677001e-08 8.292777549636457e-09 0 0
