# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1886802927196334 0.008566408933557963 0 0
0.375 0.25 0.5 0.4851086562214961 0.01673894045213833 0 0
0.75 0.5 1 0.562903086934453 0.01358843674922957 0 0
1.25 1 1.5 0.368688822434607 0.01149264959380189 0 0
1.75 1.5 2 0.209145368007257 0.007450632242212657 0 0
2.5 2 3 0.1004606992217175 0.003545077153736231 0 0
3.5 3 4 0.03695927056633358 0.002051317974950589 0 0
5 4 6 0.01014235639904831 0.0005703938206677145 0 0
7 6 8 0.0005669383315152092 6.555842155057139e-05 0 0
54 8 100 1.507025034327108e-07 1.427390037594632e-07 0 0
