# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.08588222767911742 0.005411839292467818 0 0
0.375 0.25 0.5 0.3951196245520287 0.01302487045056778 0 0
0.75 0.5 1 0.4880787605447878 0.008269682653143354 0 0
1.25 1 1.5 0.3370759520437253 0.006490293737542626 0 0
1.75 1.5 2 0.204919047940377 0.005080588673984041 0 0
2.5 2 3 0.1154132682627329 0.002652197156521456 0 0
3.5 3 4 0.06959923556393878 0.002268493992040218 0 0
5 4 6 0.03812343807829657 0.0009242790012153671 0 0
7 6 8 0.02160646306110272 0.000695945037834067 0 0
54 8 100 0.0006487317711058687 1.528091058727625e-05 0 0
