# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1424511061271216 0.006268733850662569 2.150181806561169e-05 0
0.375 0.25 0.5 0.3795902553044945 0.01105725634963643 2.150181806561169e-05 0
0.75 0.5 1 0.4290979320696847 0.007570493531435293 2.150181806561169e-05 0
1.25 1 1.5 0.3085241413162902 0.006535206179960894 2.150181806561169e-05 0
1.75 1.5 2 0.1995198695596926 0.005205028896035862 2.150181806561169e-05 0
2.5 2 3 0.1046240220750273 0.002648808219367509 2.150181806561169e-05 0
3.5 3 4 0.05574918530670887 0.001744525518818194 2.150181806561169e-05 0
5 4 6 0.03294431577229989 0.0008555878925530435 2.150181806561169e-05 0
7 6 8 0.02169253802144132 0.0006790572654814328 2.150181806561169e-05 0
54 8 100 0.0006460126025389697 1.527080510417845e-05 2.150181806561169e-05 0
