# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1797404312487302 0.006666133430544542 0 0
0.375 0.25 0.5 0.4476614427372727 0.009343288604614775 0 0
0.75 0.5 1 0.5287593286129906 0.00722575729032681 0 0
1.25 1 1.5 0.3757338887451754 0.006023708199531923 0 0
1.75 1.5 2 0.2252272801740179 0.004108816703039479 0 0
2.5 2 3 0.1205589008237025 0.002164372946326847 0 0
3.5 3 4 0.04467055661275832 0.001133468981369038 0 0
5 4 6 0.01359262327063168 0.0004468285947958105 0 0
7 6 8 0.0009100932261279528 7.686210719932287e-05 0 0
54 8 100 5.387813979043387e-09 2.64720361738725e-09 0 0
