# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2505585857762568 0.007541827855517351 8.778293857656229e-05 0
0.375 0.25 0.5 0.3408262182243778 0.007864214941320525 8.778293857656229e-05 0
0.75 0.5 1 0.2613619160594323 0.005389585998956318 8.778293857656229e-05 0
1.25 1 1.5 0.1459262186964737 0.003906906923753047 8.778293857656229e-05 0
1.75 1.5 2 0.08725357254427765 0.002638597509302284 8.778293857656229e-05 0
2.5 2 3 0.04453177666667943 0.001360118247868207 8.778293857656229e-05 0
3.5 3 4 0.02111123694580977 0.001196127794314913 8.778293857656229e-05 0
5 4 6 0.01086205322748549 0.0004539238295952105 8.778293857656229e-05 0
7 6 8 0.006629946423159714 0.0003548858730064348 8.778293857656229e-05 0
54 8 100 0.0002272405313991086 8.716730572800501e-06 8.778293857656229e-05 0
