# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.2216188408141298 0.01163521835452628 3.524176047922896e-05 0
0.375 0.25 0.5 0.5846789878149093 0.04264327358698559 3.524176047922896e-05 0
0.75 0.5 1 0.6162565315507275 0.01883989724410193 3.524176047922896e-05 0
1.25 1 1.5 0.3503591471319335 0.01101728899060646 3.524176047922896e-05 0
1.75 1.5 2 0.1752244270197181 0.007066057100740766 3.524176047922896e-05 0
2.5 2 3 0.07448770722405156 0.003042428059075872 3.524176047922896e-05 0
3.5 3 4 0.02418757935294524 0.001654163350536838 3.524176047922896e-05 0
5 4 6 0.006785982042134707 0.0005834862101485045 3.524176047922896e-05 0
7 6 8 0.0004514692870315632 8.299081796877093e-05 3.524176047922896e-05 0
9 8 10 6.066449692350652e-07 3.870209008265113e-07 3.524176047922896e-05 0
12.5 10 15 0 0 3.524176047922896e-05 0
17.5 15 20 0 0 3.524176047922896e-05 0
22.5 20 25 0 0 3.524176047922896e-05 0
62.5 25 100 0 0 3.524176047922896e-05 0
5050 100 10000 0 0 3.524176047922896e-05 0
