# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1259669125943773 0.0119524933426171 0 0
0.375 0.25 0.5 0.4518639508234847 0.01769675805464175 0 0
0.75 0.5 1 0.7148919396005715 0.01503255467788512 0 0
1.25 1 1.5 0.483026389888856 0.01329540915428226 0 0
1.75 1.5 2 0.2342498650823898 0.00866839072499895 0 0
2.5 2 3 0.08773932804555469 0.006879645163968823 0 0
3.5 3 4 0.02768744231923525 0.001528746873001674 0 0
5 4 6 0.006989398647796071 0.0004380125167377102 0 0
7 6 8 0.0005922364297379429 0.0001110865606278619 0 0
9 8 10 1.405264342792017e-06 6.932576705567469e-07 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
