# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.05224151129528196 0.003407873533256645 0 0
0.375 0.25 0.5 0.29549707250545 0.008533827915370728 0 0
0.75 0.5 1 0.607878529464465 0.008023838146652541 0 0
1.25 1 1.5 0.516224390025541 0.006984878620688575 0 0
1.75 1.5 2 0.2910128171228389 0.004708629373512287 0 0
2.5 2 3 0.128101977742738 0.00219936886560328 0 0
3.5 3 4 0.04489217474950442 0.001137950355610211 0 0
5 4 6 0.01359602941268191 0.0004454655545982473 0 0
7 6 8 0.0009511815684401738 8.905965384662782e-05 0 0
9 8 10 3.520406506147139e-07 1.673717265822164e-07 0 0
12.5 10 15 0 0 0 0
17.5 15 20 0 0 0 0
22.5 20 25 0 0 0 0
62.5 25 100 0 0 0 0
5050 100 10000 0 0 0 0
