# x_center x_low x_high value error n_jet n_event
0.125 0 0.25 0.1546352626619286 0.006305646474735347 8.761171027173207e-05 0
0.375 0.25 0.5 0.3780914004923514 0.009159815280079642 8.761171027173207e-05 0
0.75 0.5 1 0.4557820572568504 0.007598741617383146 8.761171027173207e-05 0
1.25 1 1.5 0.3196696663294237 0.005729231217660896 8.761171027173207e-05 0
1.75 1.5 2 0.2076460253703748 0.004363309735547783 8.761171027173207e-05 0
2.5 2 3 0.1101602209917318 0.00230210171074762 8.761171027173207e-05 0
3.5 3 4 0.06052913345933979 0.001772654529812122 8.761171027173207e-05 0
5 4 6 0.03505695489062535 0.0008035987568403595 8.761171027173207e-05 0
7 6 8 0.01896850601231292 0.0005836868487136223 8.761171027173207e-05 0
9 8 10 0.01030751993576928 0.0004191952277563153 8.761171027173207e-05 0
12.5 10 15 0.001893992347561553 9.783736632539865e-05 8.761171027173207e-05 0
17.5 15 20 6.589449368206995e-06 2.203393074471716e-06 8.761171027173207e-05 0
22.5 20 25 0 0 8.761171027173207e-05 0
62.5 25 100 0 0 8.761171027173207e-05 0
5050 100 10000 0 0 8.761171027173207e-05 0
